usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
3408;369;2010-12-30 17:50:59;5;ADUANA;2010-12-30 18:07:46;3;RETIRO;17
3112;425;2010-12-30 17:50:51;3;RETIRO;2010-12-30 18:29:25;3;RETIRO;39
3432;444;2010-12-30 17:42:51;7;PLAZA ROMA;2010-12-30 17:52:18;3;RETIRO;9
3554;478;2010-12-30 17:34:13;7;PLAZA ROMA;2010-12-30 17:52:15;6;DERECHO;18
3069;425;2010-12-30 17:33:07;7;PLAZA ROMA;2010-12-30 17:42:08;3;RETIRO;9
2424;443;2010-12-30 17:29:55;5;ADUANA;2010-12-30 17:56:42;5;ADUANA;27
3107;482;2010-12-30 17:29:04;7;PLAZA ROMA;2010-12-30 17:38:50;3;RETIRO;10
1985;37;2010-12-30 17:28:36;5;ADUANA;2010-12-30 17:39:24;3;RETIRO;11
2292;358;2010-12-30 17:28:15;3;RETIRO;2010-12-30 18:24:27;6;DERECHO;56
2605;414;2010-12-30 17:25:37;5;ADUANA;2010-12-30 17:32:57;5;ADUANA;7
